guid,text_a,label
0,make a report of the today's meeting,follow-up
1,add follow up for last appt,follow-up
2,follow up on previous appt,follow-up
3,Create a follow-up call,follow-up
4,create call report for today,follow-up
5,Add a task to my to-do list,follow-up
6,follow up,follow-up
7,Create follow-up appointment for the appointment at August 2, 2017,follow-up
8,create a task for the meeting,follow-up
9,create a follow-up to-do,follow-up
10,I want to follow up,follow-up
11,schedule next appointment,follow-up
12,book follow up appointment,follow-up
13,schedule followup for last Friday's meeting,follow-up
14,last appointment follow ups,follow-up
15,book a follow-up for appt just ended,follow-up
16,create a follow up to-do,follow-up
17,log appt outcome,follow-up
18,follow up on past meeting,follow-up
19,add call report for last wed's appointment,follow-up
20,followup on last meeting,follow-up
21,previous appointment follow ups,follow-up
22,Add a follow up appointment to my calendar,follow-up
23,add follow-up task,follow-up
24,add meeting outcome,follow-up
25,Create a call report for the appointment with id 5352323,follow-up
26,enter a call report,follow-up
27,schedule a follow-up task for me,follow-up
28,file call minutes for last Tuesday's meetings,follow-up
29,Let's follow up on last days meeting,follow-up
30,add meeting minutes,follow-up
31,last appointment follow up,follow-up
32,log a call,follow-up
33,followup appointment,follow-up
34,Create a report based on the appointment just ended,follow-up
35,log appointment,follow-up
36,log a meeting,follow-up
37,book follow up meeting,follow-up
38,Create a call report from the meeting just ended,follow-up
39,log appointment outcome,follow-up
40,please add a follow-up task for last appointment,follow-up
41,Create a call report for the appointment "Meeting with John",follow-up
42,log call outcome for today's meetings,follow-up
43,follow up on previous appointment,follow-up
44,add call report for last appointment,follow-up
45,let me create a task,follow-up
46,create call report for last appt,follow-up
47,Follow up on last meeting,follow-up
48,follow up on previous meeting,follow-up
49,previous appointment follow up,follow-up
50,schedule followup meeting,follow-up
51,create followup appointment,follow-up
52,add followup for last appointment,follow-up
53,i want to follow up on the meeting that just ended,follow-up
54,please follow up on last meeting,follow-up
55,schedule follow up appointment,follow-up
56,add followup todo,follow-up
57,enter meeting minutes,follow-up
58,follow up on meeting that ended yesterday,follow-up
59,create a follow-up to do,follow-up
60,create call report for last monday's appointment,follow-up
61,add followup meeting,follow-up
62,book follow-up meeting,follow-up
63,Add a follow up meeting to my calendar,follow-up
64,followup on past meeting,follow-up
65,log a call outcome,follow-up
66,add call report,follow-up
67,file meeting minutes,follow-up
68,log appt,follow-up
69,save meeting minutes,follow-up
70,create followup appointment for last meeting,follow-up
71,book a follow-up,follow-up
72,save a call report,follow-up
73,follow up on appointment,follow-up
74,log call outcome for yesterday,follow-up
75,add meeting minutes for yesterday's meetings,follow-up
76,followup on last appointment,follow-up
77,I need another call report,follow-up
78,i want to follow up on my last meeting,follow-up
79,i want to follow up on the meeting that just finished,follow-up
80,create a call report,follow-up
81,followup on past appointment,follow-up
82,Schedule a follow-up appointment for the previous meeting,follow-up
83,enter meeting minutes for the past meeting,follow-up
84,create followup for last Friday's meeting,follow-up
85,log a meeting outcome,follow-up
86,add appt outcome,follow-up
87,add call report for yesterday's appointment,follow-up
88,sch follow up appointment,follow-up
89,create call report,follow-up
90,Create a follow-up task,follow-up
91,book a follow-up for yesterday's appointment,follow-up
92,i want to follow up on the meeting that was on June 1,follow-up
93,log call outcome,follow-up
94,I need to have a follow-up call report,follow-up
95,file call minutes,follow-up
96,file meeting minutes for last Tuesday's meetings,follow-up
97,create a follow-up todo,follow-up
98,create call report for last meeting,follow-up
99,Prepare a call report,follow-up
100,create call report for last monday's meeting,follow-up
101,follow-up on past meeting,follow-up
102,add meeting minutes for last appointment,follow-up
103,Schedule a follow-up call report for the previous meeting at 10:30 AM,follow-up
104,enter meeting minutes for the previous meeting,follow-up
105,add a follow up task,follow-up
106,book a follow-up for last meeting,follow-up
107,followup on my last appointment,follow-up
108,schedule follow-up meeting,follow-up
109,create call report for last Friday's meeting,follow-up
110,book a follow-up for meeting just ended,follow-up
111,follow up on past appointment,follow-up
112,schedule next meeting,follow-up
113,follow up on past appt,follow-up
114,Schedule a follow-up meeting for me,follow-up
115,follow-up on previous meeting,follow-up
116,schedule followup,follow-up
117,please create followup task,follow-up
118,follow up on the meeting that just completed,follow-up
119,followup on previous appointment,follow-up
120,i want to follow up on yesterday's meeting,follow-up
121,create a followup to-do,follow-up
122,follow up,follow-up
123,Followup on the meeting that just got over,follow-up
124,add followup to-do,follow-up
125,add follow-up to do,follow-up
126,create call report for last appointment,follow-up
127,book a follow-up for appointment just ended,follow-up
128,add meeting minutes for last monday,follow-up
129,Prepare a follow-up meeting with Tim,follow-up
130,follow-up,follow-up
131,create appointment,follow-up
132,Log a call for appointment at 10am,follow-up
133,sch next meeting,follow-up
134,log call outcome for yesterday's meetings,follow-up
135,enter call report,follow-up
136,book follow-up appointment,follow-up
137,log meeting,follow-up
138,followup on the meeting "Meeting with John",follow-up
139,followup on previous meeting,follow-up
140,Create follow-up appointment for the meeting just ended,follow-up
141,Please create a follow-up appointment,follow-up
142,create follow-up appointment,follow-up
143,I need to have a follow-up appointment,follow-up
144,book follow-up,follow-up
145,create a call report for the last appt,follow-up
146,create follow up appointment for last meeting,follow-up
147,i want to follow up on the meeting "Green Server Demo",follow-up
