guid,text_a,label
0,please dim all lights,lightsettings_
1,turn off the bathroom lights,lightsettings_
2,living room light on,lightsettings_
3,bedroom lights 50 percent,lightsettings_
4,dim house please,lightsettings_
5,dim all the lights to 39 percent,lightsettings_
6,turn off the lights,lightsettings_
7,please turn on the lights,lightsettings_
8,turn off all the lights,lightsettings_
9,turn on the lights,lightsettings_
10,dim the bedroom,lightsettings_
11,dim lights,lightsettings_
12,please turn off lights,lightsettings_
13,please dim the lights,lightsettings_
14,please dim lights,lightsettings_
15,all lights on please,lightsettings_
16,dim lights please,lightsettings_
17,all lights off,lightsettings_
18,dim the lights,lightsettings_
19,turn off the heater,temperaturesettings_
20,"too cold, warmer please",temperaturesettings_
21,please raise the temperature,temperaturesettings_
22,it is a little too hot,temperaturesettings_
23,set temperature to 70 degrees,temperaturesettings_
24,raise the temperature in the bedroom,temperaturesettings_
25,it is too hot,temperaturesettings_
26,lower the temperature,temperaturesettings_
27,"too hot, colder please",temperaturesettings_
28,set temperature to 80 degrees,temperaturesettings_
29,raise the temperature,temperaturesettings_
30,raise temperature please,temperaturesettings_
31,turn off the ac please,temperaturesettings_
32,turn off heater,temperaturesettings_
33,turn off the heat,temperaturesettings_
34,it is a little too cold,temperaturesettings_
35,it is too cold,temperaturesettings_
36,start the ac please,temperaturesettings_
37,crank up the ac please,temperaturesettings_
38,turn on the heat,temperaturesettings_
39,please turn off the heat,temperaturesettings_
40,lower temperature to 60 degrees,temperaturesettings_
41,please turn on the heat,temperaturesettings_
42,crank up the air conditioning,temperaturesettings_
43,please lock my door,securitysettings_
44,lock my front door please,securitysettings_
45,close the garage,securitysettings_
46,lock my door,securitysettings_
47,set the security system to off,securitysettings_
48,unlock my door,securitysettings_
49,set the security system,securitysettings_
50,set the security system to on,securitysettings_
51,lock the back door,securitysettings_
52,unlock all doors,securitysettings_
53,disconnect my iphone,deviceconnection_
54,discover my devices,deviceconnection_
55,connect my phone,deviceconnection_
56,pair with bluetooth,deviceconnection_
57,disconnect my phone,deviceconnection_
58,connect to my phone,deviceconnection_
59,connect to iphone,deviceconnection_
60,connect to my iphone,deviceconnection_
61,mute all,volumesettings_
62,lower volume please,volumesettings_
63,please decrease the volume,volumesettings_
64,higher volume,volumesettings_
65,quieter please,volumesettings_
66,"too loud, quieter please",volumesettings_
67,"too loud, lower please",volumesettings_
68,turn off volume,volumesettings_
69,volume to 10,volumesettings_
70,please make it quieter,volumesettings_
71,turn on volume,volumesettings_
72,unmute please,volumesettings_
73,louder please,volumesettings_
74,set volume to 89 percent,volumesettings_
75,higher volume please,volumesettings_
76,need more sound,volumesettings_
77,unmute the sound,volumesettings_
78,volume 50 percent,volumesettings_
79,mute the sound,volumesettings_
80,decrease volume,volumesettings_
81,no sound please,volumesettings_
82,increase the volume,volumesettings_
83,lower volume,volumesettings_
84,mute,volumesettings_
85,turn off sound,volumesettings_
86,unmute,volumesettings_
87,increase volume,volumesettings_
88,please set volume to 30 percent,volumesettings_
89,more sound,volumesettings_
90,turn on sound,volumesettings_
91,increase volume please,volumesettings_
92,is it noon,datetimefaq_
93,is it midnight,datetimefaq_
94,what time is it,datetimefaq_
95,what day is today,datetimefaq_
96,tell me the time,datetimefaq_
97,what's today's date,datetimefaq_
98,is it afternoon,datetimefaq_
99,what is the time,datetimefaq_
100,what's the time,datetimefaq_
101,set alarm for 8:30 pm,timeralarmsettings_
102,turn on all alarms,timeralarmsettings_
103,set a timer for 20 seconds please,timeralarmsettings_
104,set alarm for 7 am,timeralarmsettings_
105,wake me up on weekdays at 8 please,timeralarmsettings_
106,wake me up at 5:50,timeralarmsettings_
107,turn on alarm please,timeralarmsettings_
108,set alarm for 9 in the morining tomorrow,timeralarmsettings_
109,set alarm for next week,timeralarmsettings_
110,set timer for 15 minutes,timeralarmsettings_
111,turn off alarm please,timeralarmsettings_
112,I would like to speak to an agent.,agent_
113,Agent please,agent_
114,Support?,agent_
115,an agent please,agent_
116,Can I speak to an agent?,agent_
117,Can I speak to a human?,agent_
118,Please transfer me to an agent.,agent_
119,Support please,agent_
