guid,text_a,label
0,How much money did I save last month?,balances_
1,What’s my available credit on my Visa?,balances_
2,How much do I owe on all my credit cards?,balances_
3,What’s the current balance on my cc?,balances_
4,How much money did I save last year?,balances_
5,What’s the value of my e-trade account?,balances_
6,Whats my balance,balances_
7,How much do I have available?,balances_
8,What’s the current value of my savings account?,balances_
9,What do I owe?,balances_
10,What’s the value of my savings account?,balances_
11,What’s my balance?,balances_
12,How much did I transfer from checking to savings last year?,transactions_
13,How many days until I get paid?,transactions_
14,When did I last get paid?,transactions_
15,How much did I pay Sasha in July?,transactions_
16,How much did I deposit in April?,transactions_
17,Show my last 5 checks,transactions_
18,Show my most expensive transaction in July,transactions_
19,How much did I pay Andy last week?,transactions_
20,Show me all the checks I sent out last month,transactions_
21,What did I deposit last weekend?,transactions_
22,Show me my Checking account transactions from January to May,transactions_
23,Show my transactions for last weekend.,transactions_
24,How much did I deposit last week?,transactions_
25,What was my largest Best Buy transaction?,track_spending_
26,How much did I spend on gas using my Visa cc last week?,track_spending_
27,How much have I spent at Philz Coffee?,track_spending_
28,How much have I spent in 2016?,track_spending_
29,What did I spend on food in London last month?,track_spending_
30,What was my most expensive gas bill last weekend?,track_spending_
31,How much did I spend on June 2nd?,track_spending_
32,What was my most expensive restaurant expense?,track_spending_
33,How much did I spend on clothes in June?,track_spending_
34,How much did I spend on gas in October?,track_spending_
35,How much did I spend on gas last month?,track_spending_
36,What was my largest concert ticket?,track_spending_
37,How much did I spend on travel in March?,track_spending_
38,How much did I spend last weekend?,track_spending_
39,How much have I spent on restaurants in 2016?,track_spending_
40,How much did I spend on groceries last week?,track_spending_
41,How do I name a beneficiary?,faq_
42,What is a designated beneficiary?,faq_
43,"What should I do if my card is lost or stolen, or if I notice unauthorized card transactions?",faq_
44,I noticed an unauthorized card transaction,faq_
45,I’d like to send Sasha $20 for lunch,send_money_
46,Pay my credit card,send_money_
47,Pay Chase the minimum balance on the 15th of the month,send_money_
48,Send $500 to Mom from Savings every month,send_money_
49,Pay Cleo for rent on the 1st of every month using Paypal,send_money_
50,Pay the minimum balance on my credit card on the 15th of the month,send_money_
