guid,text_a,label
0,What can I do with my account?,intent1
1,what is my account?,intent1
2,What can I do with an account?,intent1
3,What is My Account? What can I do with it?,intent1
4,How can I access my account?,intent2
5,I need to sign in,intent2
6,I can't sign in.,intent2
7,How do I sign in to My Account?,intent2
8,It is asking me to verify my account?,intent3
9,It asked me to verify my account after I signed in?,intent3
10,I can't figure out how to verify my account,intent3
11,How do I verify my account after I sign in?,intent3
12,How can I get my security code?,intent4
13,I don't have the bill which has my customer code,intent4
14,How can I get my 4-digit Customer Code (4-digit Security Code) if I don’t have a paper or paperless bill handy?,intent4
15,What is my security code?,intent4
16,I didn't enter my 4-digit Customer Code (4-digit Security Code) during registration. Will I be able to enter it later?,intent5
17,can I set my security code after registration?,intent5
18,Can I set my 5-digit customer code later?,intent5
19,what features won't I be able to see with limited access?,intent6
20,what features can I see with limited access?,intent6
21,What can I do with limited access?,intent6
22,what is the consequence for having limited access?,intent6
23,what features do I see once I enter my security code?,intent7
24,what can I see after I enter my pin?,intent7
25,what features are available once I enter my 4-digit code?,intent7
26,What features can I access after I enter my 4-digit Customer Code (4-digit Security Code)?,intent7
27,Can I log in to my account from anywhere?,intent8
28,Can I sign in from anywhere?,intent8
29,can I access my account from any computer?,intent8
30,Can I sign in to My Account from any computer?,intent8
31,what is on the overview tab?,intent9
32,What can I do on the Overview tab in My Account?,intent9
33,what can I do on the overview tab?,intent9
34,what can I do from account overview?,intent9
35,I can't find my account number.,intent10
36,where can I find my account number?,intent10
37,what's my account number?,intent10
38,how do you find out what is your account number?,intent10
39,I got a notification that my credit card was disabled?,intent11
40,how come I am being told my debit card is no longer active?,intent11
41,Why is my credit card no longer active?,intent11
42,how come my debit card is no longer active?,intent11
43,when do i get a statement?,intent12
44,when do I get my statement?,intent12
45,when do i get my bill?,intent12
46,when do you send my first bill?,intent12
47,Can I review the services and equipment associated with my account?,intent13
48,what things are associated with my account?,intent13
49,can i review the equipment associated with my account?,intent13
50,what equipment and services are associated with my account?,intent13
51,Does the Activate and Troubleshoot Services module inform me if I am part of an outage?,intent14
52,how to tell if I am part of an outage?,intent14
53,does the Activate and Troubleshoot services module tell me about service disruptions?,intent14
54,does my device tell me if I am part of an outage?,intent14
55,"what does ""Critical status"" mean?",intent15
56,"what does ""critical status"" mean?",intent15
57,"why am i recieving the ""Critical status"" message?",intent15
58,"what do I do if I see ""Critical status"" error message?",intent15
59,where can I find my past statements?,intent16
60,Where can I find my current and previous bill statements online?,intent16
61,where can I find my bill online for previous months?,intent16
62,I am looking for past statement.,intent16
63,how does auto-pay work?,intent17
64,Why would I want to automatically pay my monthly bill statement?,intent17
65,why would I want to automatically pay my bill each month?,intent17
66,why setup auto-pay?,intent17
67,what's a One-Time payment?,intent18
68,What is a One-Time Payment?,intent18
69,what should I make a One-Time payment?,intent18
70,what happens when I make a One-Time payment?,intent18
71,What are Recurring Payments (also known as AutoPay)?,intent19
72,what is auto pay?,intent19
73,What are recurring payments?,intent19
74,what's a recurring payment?,intent19
75,Can I cancel Recurring Payments (also known as AutoPay)? Can I edit account information?,intent20
76,Can I cancel auto pay at any time?,intent20
77,what happens if I cancel a recurring payment?,intent20
78,can i cancel auto pay by editing my account?,intent20
79,I need to cancel an appointment for an installation,intent21
80,I don't want my installation appointment,intent21
81,Can I cancel my installation appointment online?,intent21
82,I would like to cancel my installation appointment,intent21
83,Can I schedule a new appointment online?,intent22
84,Help me make an appointment,intent22
85,How to make a new appointment?,intent22
86,I need to make an appointment,intent22
87,can I reschedule appointments online?,intent23
88,can I go online to reschedule an appointment?,intent23
89,can I go online to reschedule?,intent23
90,I need to reschedule an existing appointment.,intent23
91,can i go online to cancle a service repair appointment?,intent24
92,online can I cancel service repair appointments?,intent24
93,if I go online can i cancel a service repair appointment?,intent24
94,Can I cancel my service repair appointment online?,intent24
95,what happens if i choose paperless billing?,intent25
96,please explain paperless billing,intent25
97,explain paperless billing,intent25
98,how does going paperless work?,intent25
99,I want to stop receiving paper bills each month,intent26
100,how do I stop receiving paper statements?,intent26
101,how do I stop receiving paper bills?,intent26
102,how do I stop receiving paper bills each month?,intent26
103,What is My Internet? What can I do with it?,intent27
104,what can I do with My Internet?,intent27
105,what are the features of My Internet?,intent27
106,what is my internet for?,intent27
107,Can I check my email through My Internet?,intent28
108,how do I check my email?,intent28
109,explain my internet email,intent28
110,how do i access my email?,intent28
111,can i have multiple email addresses?,intent29
112,Can I have more than one email address?,intent29
113,can I create a different email address?,intent29
114,do my internet let me have multiple email addresses?,intent29
115,can I manage email accounts somewhere?,intent30
116,Can I manage my email accounts through My Internet?,intent30
117,can I add an email account in my internet?,intent30
118,where do I manage email accounts?,intent30
119,explain twc mail,intent31
120,what's TWC Mail?,intent31
121,What is TWC Mail?,intent31
122,what is twc?,intent31
123,can I setup twc for my wife?,intent32
124,can I set up twc id for others?,intent32
125,Can I set up a TWC ID for other members of my household?,intent32
126,is it possible for me to setup a twc id for someone else in my family?,intent32
127,how do I create a twc id?,intent33
128,How do I create a TWC ID for other members of my household?,intent33
129,how do i create a second twc id?,intent33
130,how do i create multiple twc ids?,intent33
131,i would like to manage users,intent34
132,how to manage users?,intent34
133,how can I manage my users?,intent34
134,for users how do i manage them?,intent34
135,Can I disable a user's access?,intent35
136,i need to disable a user,intent35
137,how do i disable a user?,intent35
138,i need to cut off someone's access.,intent35
139,I need to delete a user,intent36
140,is it possible to delete a user?,intent36
141,explain how i would delete a user,intent36
142,show me how to delete a user?,intent36
143,how to change my twc id username?,intent37
144,for twc id can I change my username?,intent37
145,Can I change my TWC ID username?,intent37
146,it is possible to change my username?,intent37
147,Can I change my TWC ID password?,intent38
148,i would like to change my password,intent38
149,please change my password,intent38
150,i need to change my password,intent38
151,Can I change my account preferences in My Account?,intent39
152,where in my account can I change my account preferences?,intent39
153,where can i change my preferences?,intent39
154,where do i edit account preferences?,intent39
155,is it possible to my twc id's email?,intent40
156,Can I change the email address associated with my TWC ID?,intent40
157,where can I change the email address associated with my twc id?,intent40
158,it is possible to change my billing address?,intent41
159,can I change my bill to address?,intent41
160,Can I change my billing address?,intent41
161,i move and need to update my info,intent41
162,what is My TV for?,intent42
163,isn't it kind of weird to be asking what i can do with my tv?,intent42
164,What is My TV? What can I do with it?,intent42
165,what can i do with My TV?,intent42
166,I want to know about twcondemand.com,intent43
167,tell me about twcondemand.com without me going there to find out,intent43
168,please tell me about twcondemand.com,intent43
169,what is twcondemand.com for?,intent43
170,can i record shows?,intent44
171,can i program my dvr from within my account?,intent44
172,can i record shows from within my account?,intent44
173,can i record show by programming my dvr?,intent44
174,where can i see my scheduled recordings?,intent45
175,where do i look for scheduling recordings,intent45
176,i am looking for scheduled recordings.,intent45
177,Can I see my scheduled recordings for my DVR?,intent45
178,What is My Phone?,intent46
179,what do i do with my phone?,intent46
180,tell me about my phone,intent46
181,can i call my friend using my phone?,intent46
182,i am looking for the phone number for my account.,intent47
183,where do i find my account's phone numbers?,intent47
184,where is the phone number for my account?,intent47
185,Where do I find the phone numbers for my account?,intent47
186,what are the services I can access from My Phone?,intent48
187,what are the service i can access from the my phone tab?,intent48
188,what can i do from My Phone?,intent48
189,what services can i access from My Phone?,intent48
190,what computers can i access call history from?,intent49
191,how many places can i access call history from?,intent49
192,Can I access Call History from any computer?,intent49
193,can i access my call history from any computer?,intent49
194,which phones are compatible with phone service?,intent50
195,what types of phones do I have to use with your phone service?,intent50
196,which phones work with your service?,intent50
197,What type of phone do I have to use with your Phone service?,intent50
